RecordName,Simulation,Oracles,MISC,E2E,RetryNo
Generation42_Scenario4,11.22,1.50,1.53,14.25,1
Generation42_Scenario5,11.24,1.42,1.63,14.29,1
Generation42_Scenario6,11.24,1.50,2.02,14.75,1
Generation42_Scenario7,11.23,1.60,2.27,15.10,1
Generation42_Scenario8,11.23,1.38,2.14,14.75,1
Generation42_Scenario9,11.23,1.65,2.08,14.96,1
Generation42_Scenario10,11.24,1.46,1.68,14.38,1
Generation42_Scenario11,11.30,1.44,1.85,14.59,1
Generation42_Scenario12,11.26,1.44,1.98,14.69,1
Generation42_Scenario13,11.23,1.51,1.98,14.72,1
Generation42_Scenario14,11.25,1.46,1.97,14.68,1
Generation42_Scenario15,11.28,1.47,1.51,14.26,1
Generation42_Scenario16,11.23,1.42,1.66,14.31,1
Generation42_Scenario17,11.23,1.43,1.47,14.13,1
Generation42_Scenario18,11.26,1.44,2.02,14.71,1
Generation42_Scenario19,11.25,1.47,2.12,14.85,1
Generation42_Scenario20,11.27,1.42,1.91,14.60,1
Generation42_Scenario21,11.24,1.60,2.19,15.02,1
Generation42_Scenario22,11.24,1.43,2.78,15.45,1
Generation42_Scenario23,11.25,1.44,2.32,15.01,1
Generation42_Scenario24,11.24,1.42,2.11,14.77,1
Generation42_Scenario25,11.24,1.43,1.66,14.33,1
Generation42_Scenario26,11.26,1.45,2.25,14.95,1
Generation42_Scenario27,11.24,1.54,1.92,14.69,1
Generation42_Scenario28,11.23,1.40,1.83,14.46,1
Generation42_Scenario29,11.24,1.50,1.78,14.52,1
Generation42_Scenario30,11.22,1.50,2.12,14.84,1
Generation42_Scenario31,11.23,1.58,1.55,14.36,1
Generation42_Scenario32,11.27,1.38,1.96,14.60,1
Generation42_Scenario33,11.26,1.46,2.04,14.77,1
Generation42_Scenario34,11.23,1.41,2.07,14.71,1
Generation42_Scenario35,11.25,1.44,2.23,14.91,1
Generation42_Scenario36,11.23,1.54,2.30,15.07,1
Generation42_Scenario37,11.22,1.45,2.09,14.76,1
Generation42_Scenario38,11.27,1.51,1.86,14.64,1
Generation42_Scenario39,11.23,1.37,2.30,14.89,1
Generation42_Scenario40,11.25,1.43,1.57,14.25,1
Generation42_Scenario41,11.23,1.52,1.81,14.57,1
Generation42_Scenario42,11.27,1.48,2.27,15.02,1
Generation42_Scenario43,11.23,1.53,2.66,15.42,1
Generation42_Scenario44,11.23,1.44,2.02,14.69,1
Generation42_Scenario45,11.19,1.44,2.41,15.04,1
Generation42_Scenario46,11.25,1.40,2.27,14.92,1
Generation42_Scenario47,11.25,1.43,1.98,14.66,1
Generation42_Scenario48,11.23,1.41,2.09,14.73,1
Generation42_Scenario49,11.21,1.35,2.50,15.06,1
Generation42_Scenario50,11.24,1.48,1.94,14.65,1
Generation43_Scenario1,11.21,1.47,1.63,14.31,1
Generation43_Scenario2,11.21,1.47,2.11,14.78,1
Generation43_Scenario3,11.23,1.47,2.25,14.95,1
Generation43_Scenario4,11.24,1.57,1.56,14.37,1
Generation43_Scenario5,11.27,1.43,1.87,14.57,1
Generation43_Scenario6,11.22,1.45,2.41,15.08,1
Generation43_Scenario7,11.24,2.84,1.82,15.90,1
Generation43_Scenario8,11.23,1.59,1.46,14.28,1
Generation43_Scenario9,11.24,1.52,2.16,14.92,1
Generation43_Scenario10,11.21,1.50,1.63,14.35,1
Generation43_Scenario11,11.24,1.38,1.87,14.49,1
Generation43_Scenario12,11.25,1.53,2.08,14.86,1
Generation43_Scenario13,11.23,1.48,2.16,14.86,1
Generation43_Scenario14,11.22,1.54,2.68,15.43,1
Generation43_Scenario15,22.48,2.96,2.80,28.23,2
Generation43_Scenario16,11.23,1.40,1.62,14.25,1
Generation43_Scenario17,11.21,1.51,1.53,14.24,1
Generation43_Scenario18,11.23,1.45,2.39,15.07,1
Generation43_Scenario19,11.25,1.46,2.02,14.73,1
Generation43_Scenario20,11.26,1.68,1.97,14.91,1
Generation43_Scenario21,11.26,1.43,2.31,15.00,1
Generation43_Scenario22,11.24,1.49,2.52,15.24,1
Generation43_Scenario23,11.23,1.50,1.92,14.65,1
Generation43_Scenario24,11.28,1.50,2.30,15.07,1
Generation43_Scenario25,11.21,1.47,1.60,14.29,1
Generation43_Scenario26,11.22,1.46,2.03,14.70,1
Generation43_Scenario27,11.22,1.47,3.05,15.75,1
Generation43_Scenario28,11.26,1.43,2.55,15.24,1
Generation43_Scenario29,11.26,1.42,2.00,14.68,1
Generation43_Scenario30,11.24,1.53,1.54,14.31,1
Generation43_Scenario31,11.23,1.41,1.46,14.09,1
Generation43_Scenario32,11.27,1.42,1.63,14.33,1
Generation43_Scenario33,11.24,1.50,1.98,14.71,1
Generation43_Scenario34,11.22,1.45,1.76,14.42,1
Generation43_Scenario35,11.22,1.47,1.62,14.31,1
Generation43_Scenario36,11.22,1.42,1.68,14.32,1
Generation43_Scenario37,11.22,1.47,2.40,15.09,1
Generation43_Scenario38,11.22,1.49,2.82,15.53,1
Generation43_Scenario39,11.23,1.59,1.69,14.51,1
Generation43_Scenario40,11.25,1.39,1.63,14.28,1
Generation43_Scenario41,11.22,1.42,2.61,15.26,1
Generation43_Scenario42,11.22,1.47,1.96,14.65,1
Generation43_Scenario43,11.24,1.41,2.10,14.76,1
Generation43_Scenario44,11.25,1.52,1.87,14.63,1
Generation43_Scenario45,11.23,1.42,1.91,14.56,1
Generation43_Scenario46,11.25,1.48,1.74,14.47,1
Generation43_Scenario47,11.22,1.47,1.94,14.63,1
Generation43_Scenario48,11.25,1.55,2.37,15.17,1
Generation43_Scenario49,11.24,1.41,1.92,14.58,1
Generation43_Scenario50,11.22,1.36,1.88,14.45,1
Generation44_Scenario1,11.23,1.53,2.15,14.90,1
Generation44_Scenario2,22.55,2.91,3.97,29.43,2
Generation44_Scenario3,11.25,1.47,2.05,14.76,1
Generation44_Scenario4,11.23,1.45,2.02,14.70,1
Generation44_Scenario5,11.24,1.43,1.76,14.43,1
Generation44_Scenario6,11.23,1.55,1.92,14.70,1
Generation44_Scenario7,11.26,1.54,2.03,14.83,1
Generation44_Scenario8,11.24,1.48,1.67,14.38,1
Generation44_Scenario9,11.29,1.55,2.11,14.95,1
Generation44_Scenario10,11.23,1.44,2.51,15.18,1
Generation44_Scenario11,11.25,1.47,1.86,14.58,1
Generation44_Scenario12,11.28,1.42,2.14,14.85,1
Generation44_Scenario13,11.26,1.46,2.27,14.98,1
Generation44_Scenario14,11.25,1.49,1.96,14.70,1
Generation44_Scenario15,11.22,1.41,1.59,14.22,1
Generation44_Scenario16,11.23,1.44,1.45,14.12,1
Generation44_Scenario17,11.23,1.50,1.35,14.09,1
Generation44_Scenario18,11.25,1.47,2.36,15.08,1
Generation44_Scenario19,11.24,1.46,2.45,15.14,1
Generation44_Scenario20,11.23,1.53,2.42,15.18,1
Generation44_Scenario21,11.26,1.44,2.97,15.66,1
Generation44_Scenario22,11.28,1.54,2.18,15.00,1
Generation44_Scenario23,11.25,1.46,2.38,15.08,1
Generation44_Scenario24,11.25,1.48,1.76,14.49,1
Generation44_Scenario25,11.23,1.48,1.84,14.55,1
Generation44_Scenario26,11.22,1.42,2.24,14.89,1
Generation44_Scenario27,11.29,1.44,1.87,14.60,1
Generation44_Scenario28,11.25,1.39,1.97,14.61,1
Generation44_Scenario29,11.23,1.48,2.11,14.82,1
Generation44_Scenario30,11.23,1.43,1.52,14.18,1
Generation44_Scenario31,11.26,1.51,1.52,14.28,1
Generation44_Scenario32,11.27,1.44,1.89,14.59,1
Generation44_Scenario33,11.24,1.51,1.85,14.60,1
Generation44_Scenario34,11.25,1.40,1.68,14.33,1
Generation44_Scenario35,11.23,1.42,1.71,14.35,1
Generation44_Scenario36,11.26,1.46,2.80,15.52,1
Generation44_Scenario37,11.24,1.43,3.03,15.70,1
Generation44_Scenario38,11.23,1.56,1.59,14.38,1
Generation44_Scenario39,11.24,1.46,1.85,14.56,1
Generation44_Scenario40,11.25,1.45,1.51,14.21,1
Generation44_Scenario41,11.21,1.40,1.93,14.54,1
Generation44_Scenario42,11.19,1.36,1.92,14.47,1
Generation44_Scenario43,11.22,1.50,2.01,14.73,1
Generation44_Scenario44,11.23,1.42,2.15,14.80,1
Generation44_Scenario45,11.25,1.47,2.05,14.77,1
Generation44_Scenario46,11.26,1.43,1.91,14.59,1
Generation44_Scenario47,11.24,1.47,2.49,15.20,1
Generation44_Scenario48,11.24,1.41,2.35,15.00,1
Generation44_Scenario49,11.24,1.45,2.07,14.75,1
Generation44_Scenario50,11.23,1.45,2.01,14.69,1
Generation45_Scenario1,11.26,1.45,1.53,14.25,1
Generation45_Scenario2,11.25,1.54,2.32,15.11,1
Generation45_Scenario3,11.25,1.46,1.90,14.61,1
Generation45_Scenario4,11.25,1.44,2.91,15.59,1
Generation45_Scenario5,11.26,1.40,1.60,14.26,1
Generation45_Scenario6,11.26,1.46,1.80,14.52,1
Generation45_Scenario7,11.23,1.44,3.29,15.96,1
Generation45_Scenario8,11.23,1.40,1.63,14.27,1
Generation45_Scenario9,11.27,1.44,2.41,15.12,1
Generation45_Scenario10,11.21,1.42,1.77,14.40,1
Generation45_Scenario11,11.25,1.46,2.25,14.96,1
Generation45_Scenario12,11.24,1.48,2.30,15.01,1
Generation45_Scenario13,11.23,1.47,2.08,14.77,1
Generation45_Scenario14,11.26,1.44,2.15,14.85,1
Generation45_Scenario15,11.31,1.54,1.60,14.45,1
Generation45_Scenario16,11.24,1.50,1.58,14.32,1
Generation45_Scenario17,11.31,1.42,2.01,14.74,1
Generation45_Scenario18,11.26,1.46,1.82,14.55,1
Generation45_Scenario19,11.28,1.47,2.16,14.91,1
Generation45_Scenario20,11.24,1.50,1.85,14.59,1
