RecordName,Simulation,Oracles,MISC,E2E,RetryNo
Generation3_Scenario32,11.23,1.45,1.71,14.39,1
Generation3_Scenario33,11.21,1.42,1.67,14.30,1
Generation3_Scenario34,11.20,1.39,1.60,14.19,1
Generation3_Scenario35,11.23,1.45,2.46,15.15,1
Generation3_Scenario36,11.22,1.53,1.93,14.68,1
Generation3_Scenario37,11.24,1.37,1.52,14.13,1
Generation3_Scenario38,11.21,3.55,1.74,16.50,1
Generation3_Scenario39,11.22,1.43,1.95,14.59,1
Generation3_Scenario40,11.21,1.49,1.41,14.12,1
Generation3_Scenario41,11.24,1.45,1.49,14.18,1
Generation3_Scenario42,11.22,1.44,1.52,14.18,1
Generation3_Scenario43,11.23,1.42,2.03,14.67,1
Generation3_Scenario44,11.20,1.38,2.25,14.83,1
Generation3_Scenario45,11.23,1.39,1.87,14.49,1
Generation3_Scenario46,11.23,1.38,1.81,14.41,1
Generation3_Scenario47,11.25,1.39,2.26,14.90,1
Generation3_Scenario48,22.44,2.96,3.81,29.21,2
Generation3_Scenario49,11.24,1.38,1.76,14.38,1
Generation3_Scenario50,11.21,1.44,1.96,14.61,1
Generation4_Scenario1,11.22,1.53,1.93,14.67,1
Generation4_Scenario2,11.20,1.43,1.28,13.92,1
Generation4_Scenario3,11.21,1.50,2.25,14.96,1
Generation4_Scenario4,11.20,1.48,2.35,15.03,1
Generation4_Scenario5,11.23,1.41,2.00,14.63,1
Generation4_Scenario6,11.20,1.41,1.81,14.43,1
Generation4_Scenario7,11.25,1.40,2.24,14.88,1
Generation4_Scenario8,11.22,1.67,1.33,14.23,1
Generation4_Scenario9,11.21,1.40,2.25,14.86,1
Generation4_Scenario10,11.21,1.39,1.75,14.35,1
Generation4_Scenario11,11.22,1.48,1.54,14.24,1
Generation4_Scenario12,11.24,1.41,2.05,14.70,1
Generation4_Scenario13,11.20,1.49,1.62,14.31,1
Generation4_Scenario14,11.21,1.37,2.30,14.87,1
Generation4_Scenario15,11.23,1.39,1.41,14.03,1
Generation4_Scenario16,11.25,1.49,2.58,15.31,1
Generation4_Scenario17,11.22,1.49,1.97,14.68,1
Generation4_Scenario18,11.23,1.37,2.02,14.62,1
Generation4_Scenario19,11.22,1.48,1.31,14.01,1
Generation4_Scenario20,11.22,1.43,2.19,14.84,1
Generation4_Scenario21,11.23,1.41,1.97,14.61,1
Generation4_Scenario22,11.20,1.43,1.99,14.61,1
